ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=42e5fca49d726803,[수시] ESTsoft 웹서버개발 (신입/경력),이스트소프트 서울 서초구,,팀업 제품 개발 - 신사업 제품 개발 - 알툴즈 제품 개발 및 유지보수 자격조건 - Spring Framework에 대한 이해가 있는 분 - Rest API에 대한 이해가 있는 분 - DB(RDBMS...
https://kr.indeed.com/viewjob?jk=c81da6ca34f597db,Quarantine Support | LOCATIONS ALL OVER...,Chungdahm 3.0 대한민국,,Observatory. Daegu is known for its azalea festival in spring. Ulsan Ulsan is a coastal city northeast of Busan. Impressive...
https://kr.indeed.com/viewjob?jk=14905eb509bf91e2,웹기반 금융 플랫폼 개발 팀장님,핀투비 서울 여의도,,"비티, 서로 존중하는 문화 주요 업무 • 웹기반 B2B 금융 플랫폼 개발 리드 기술스택 • back-end ( spring, jpa, mybatis, nodejs, express, mocha, aws, mysql, nginx..."
https://kr.indeed.com/viewjob?jk=233c4007f2c2820c,[스트롱홀드테크놀로지] 각 본부별 신입/경력 의 건.,스트롱홀드테크놀로지 서울 금천구,,"가능자 - 원만한 대인관계 및 의사소통 스킬 보유자 - 새로운 업무 및 기술에 관심이 많은 분 우대조건 - Spring 프레임 워크, DB(My Sql), Node js - 서버 운영 및 웹개발 경력 - 쇼핑몰 프로젝트 주문..."
https://kr.indeed.com/viewjob?jk=1a004c722da6cad0,[개발]상품 데이터 백엔드 개발자(정규직),위메프 2.8 대한민국,,"속성 처리/배치 등 데이터 처리 개발 [자격사항] - Java/ Spring 서버 개발 경력 3년 이상 - Spring framework, Spring Data JPA 대용량 데이터프로세싱 경험자 - MySQL, MS-SQL..."
https://kr.indeed.com/viewjob?jk=e4ad2a4bf2696f2a,게임 개발자 채용,LINE Plus corporation 성남 서현역,,"Java 언어, 객체지향, Spring Framework 기반 개발에 능숙... 설계 및 운영 경험이 많으신 분 - Hystrix, Spring Webflux, Spring Cloud, Docker, Netty 등의 적용 경험이..."
https://kr.indeed.com/viewjob?jk=e0ea80abff5c4953,[TmaxSoft/관리] 전사 정보시스템 설계 및 개발 관리,티맥스소프트 성남 분당구,,"스템 관리 및 유지보수 자격요건 개발 3~6년 경력자(신입도 가능) jsp, java 프로그래밍 가능자, Spring 사용경험자 DB 관련 지식 보유자 우대사항 EIS(경영자정보), CRM(세일즈포스닷컴) 구축 경험자..."
https://kr.indeed.com/viewjob?jk=91066722c7c72293,정보시스템 개발 경력자,디비비전 서울 금천구,"연봉 42,000,000원 - 44,000,000원","솔루션 개발 - JAVA / JSP, JAVA Script, XML 기반 솔루션 개발 - 전자정부 / Spring Framework 기반 개발 상세모집요강 접수기간/방법 시작일 2020.7.8 (수) 마감일 2020.7..."
https://kr.indeed.com/viewjob?jk=27b10c6deb91477e,팟티서비스 웹개발(서버&프론트),아프리카TV 성남 분당구,,[담당업무] - 팟티서비스 PC/모바일 웹 서비스 개발 및 유지보수 [자격요건] 서버 - JAVA & Spring Framework 기반 웹서비스 개발 3년 이상이신 분 - Linux 플랫폼에서 웹서비스 개발/운영 경험...
https://kr.indeed.com/viewjob?jk=3ead97a6263bf8d4,[메가존클라우드] Product Development 부문,메가존 서울 강남구,,"지향하고 협업을 위한 소통에 적극적이신 분 Java Spring Framework, Spring Boot Application 구축 경험자 REST... 그에 상응하는 역량 Spring Framework, Spring Boot..."
